Lead_Time,Border_Congestion,Storage_Type,Route_ID,Stock_Out
7.136022872740183,4,0,2,0
6.652335461971521,5,1,3,0
8.429117473022997,4,1,2,1
4.90866961101119,3,0,1,0
7.180789764114671,2,1,2,0
5.318486492095879,4,0,3,0
6.493802640116292,1,0,3,0
6.090211184086648,2,1,3,0
8.443105125040777,1,0,1,0
3.6912495458986494,2,1,3,0
4.622767910908728,1,1,2,0
7.465069989402482,3,0,3,0
8.181964502795859,2,0,3,0
7.515810998210479,4,1,1,0
8.487497830173492,2,1,1,0
9.680369697560309,5,1,1,1
9.383117230601869,3,0,2,0
2.3967244732373905,6,1,2,0
7.991412951680404,2,0,2,0
2.55583785801978,3,1,2,0
7.027285579467143,1,1,3,0
7.501089404647416,4,1,1,0
7.595670516950311,4,1,1,0
7.800547155904194,3,1,2,0
5.068604268406107,3,1,2,0
4.844215976012482,2,1,2,0
8.360730889866806,5,0,3,0
4.9847793351052365,0,0,1,0
6.687466665711488,5,1,1,0
2.944557476034972,3,0,1,0
5.5128124436999375,2,0,2,0
10.171471653718505,3,1,2,1
7.702688271957844,6,1,1,1
6.938385567770597,4,0,1,0
6.361449496805444,3,0,3,0
7.203129308236723,3,0,3,0
6.077631627655918,5,1,3,0
10.39834337020084,2,1,3,1
5.34130931517685,4,0,3,0
7.67679810744481,6,1,1,1
3.5232903879624202,3,0,3,0
9.510006552156671,3,0,2,0
5.061537560862371,3,0,2,0
5.267229428963052,2,0,2,0
3.8951300660096413,3,1,3,0
6.445498619146785,4,0,3,0
5.869614340204463,3,0,3,0
6.415298304533535,2,1,1,0
6.090322109589437,1,1,3,0
7.672822071679621,2,1,1,0
10.457260502974485,0,1,2,0
8.009464631440904,3,0,2,0
10.210775079181262,7,0,3,0
3.825851060744971,3,1,2,0
6.56792513157412,2,1,2,0
7.018774165861028,2,1,2,0
3.3687378799856296,3,1,1,0
7.019815601285276,3,1,3,0
8.501773544444232,2,1,2,0
10.082386946500153,0,1,3,0
5.297237205187836,2,0,3,0
